Ã¯Â»Â¿"participant_id";"horodatage";"age";"freq";"pop";"device";"pro";"audiophile";"AB_premier";"AB_preference";"AB_niveau";"AB_intelligibilite";"AB_expressivite";"AB_equilibre";"AC_premier";"AC_preference";"AC_niveau";"AC_intelligibilite";"AC_expressivite";"AC_equilibre";"AD_premier";"AD_preference";"AD_niveau";"AD_intelligibilite";"AD_expressivite";"AD_equilibre";"BC_premier";"BC_preference";"BC_niveau";"BC_intelligibilite";"BC_expressivite";"BC_equilibre";"BD_premier";"BD_preference";"BD_niveau";"BD_intelligibilite";"BD_expressivite";"BD_equilibre";"CD_premier";"CD_preference";"CD_niveau";"CD_intelligibilite";"CD_expressivite";"CD_equilibre"
"P_1777572199084";"2026-04-30T18:03:19.084Z";"20";"Plusieurs heures par jour";"Oui";"Casque ou Ã©couteurs";"Oui";"Oui";"C";"3";"3";"3";"3";"3";"C";"6";"6";"6";"6";"6";"D";"7";"7";"7";"7";"7";"A";"2";"2";"2";"2";"2";"A";"4";"4";"4";"4";"4";"D";"5";"5";"5";"5";"5"
"P_1777574437660";"2026-04-30T18:40:37.660Z";"30";"Un peu chaque mois";"Oui";"Casque ou écouteurs";"Oui";"Oui";"A";"4";"4";"4";"4";"4";"A";"3";"3";"3";"3";"3";"A";"1";"1";"1";"1";"1";"C";"7";"7";"7";"7";"7";"D";"6";"6";"6";"6";"6";"D";"5";"5";"5";"5";"5"
\"P_1777641738284\";\"2026-05-01T13:22:18.284Z\";\"12\";\"Plusieurs heures par jour\";\"Un peu\";\"Enceintes\";\"Oui\";\"Oui\";\"A\";\"7\";\"5\";\"5\";\"2\";\"5\";\"C\";\"5\";\"5\";\"5\";\"5\";\"5\";\"D\";\"5\";\"4\";\"6\";\"4\";\"7\";\"B\";\"5\";\"5\";\"5\";\"5\";\"5\";\"B\";\"5\";\"5\";\"5\";\"5\";\"5\";\"C\";\"5\";\"5\";\"5\";\"5\";\"5\"
\"P_1777642045645\";\"2026-05-01T13:27:25.645Z\";\"29\";\"Plusieurs heures par jour\";\"Oui\";\"Casque ou écouteurs\";\"Oui\";\"Oui\";\"B\";\"8\";\"8\";\"8\";\"8\";\"8\";\"A\";\"8\";\"8\";\"8\";\"8\";\"8\";\"A\";\"8\";\"8\";\"8\";\"8\";\"8\";\"C\";\"8\";\"8\";\"8\";\"8\";\"8\";\"D\";\"8\";\"8\";\"8\";\"8\";\"8\";\"C\";\"8\";\"8\";\"8\";\"8\";\"8\"
"P_1777642575939";"2026-05-01T13:36:15.939Z";"54";"Plusieurs heures par jour";"Oui";"Casque ou écouteurs";"Oui";"Oui";"B";"8";"8";"8";"8";"8";"C";"8";"8";"8";"8";"8";"A";"8";"8";"8";"8";"8";"C";"8";"8";"8";"8";"8";"B";"8";"8";"8";"8";"8";"C";"8";"8";"8";"8";"8"
"P_1779041421011";"2026-05-17T18:10:21.011Z";"29";"Plusieurs heures par jour";"Oui";"Casque ou écouteurs";"Oui";"Oui";"A";"3";"8";"6";"5";"3";"C";"6";"3";"3";"4";"6";"D";"4";"4";"4";"4";"4";"B";"4";"3";"4";"4";"5";"B";"6";"2";"2";"5";"5";"D";"4";"6";"5";"4";"3"
"P_1779042320372";"2026-05-17T18:25:20.373Z";"25";"Un peu tous les jours";"Oui";"Casque ou écouteurs";"Oui";"Oui";"B";"7";"2";"4";"5";"7";"C";"3";"3";"3";"4";"5";"A";"4";"6";"5";"4";"5";"B";"7";"3";"4";"4";"6";"B";"3";"3";"4";"2";"5";"D";"5";"5";"5";"6";"5"
"P_1779042589410";"2026-05-17T18:29:49.410Z";"28";"Plusieurs heures par jour";"Oui";"Enceintes";"Oui";"Oui";"B";"3";"3";"3";"3";"3";"A";"3";"6";"5";"3";"4";"A";"3";"4";"3";"4";"4";"B";"5";"3";"5";"5";"5";"B";"3";"3";"5";"3";"5";"D";"4";"4";"4";"4";"4"
"P_1779042612350";"2026-05-17T18:30:12.350Z";"30";"Un peu tous les jours";"Un peu";"Casque ou écouteurs";"Non";"Non";"B";"5";"4";"4";"4";"5";"C";"5";"4";"4";"4";"5";"D";"4";"4";"4";"4";"4";"B";"4";"4";"4";"4";"4";"B";"5";"4";"4";"4";"5";"C";"4";"4";"4";"4";"4"
"P_1779042665233";"2026-05-17T18:31:05.233Z";"25";"Un peu tous les jours";"Non";"Casque ou écouteurs";"Oui";"Oui";"A";"2";"7";"5";"3";"2";"A";"5";"6";"5";"4";"4";"D";"3";"2";"4";"3";"3";"C";"6";"4";"4";"5";"5";"B";"3";"3";"3";"4";"5";"C";"3";"6";"3";"3";"4"
"P_1779043057558";"2026-05-17T18:37:37.558Z";"22";"Un peu tous les jours";"Oui";"Casque ou écouteurs";"Oui";"Un peu";"B";"5";"4";"5";"5";"5";"A";"4";"5";"5";"4";"4";"D";"4";"5";"4";"5";"4";"B";"4";"5";"4";"4";"4";"D";"4";"5";"5";"4";"5";"D";"5";"4";"4";"4";"4"
"P_1779044025923";"2026-05-17T18:53:45.923Z";"25";"Plusieurs heures par jour";"Oui";"Casque ou écouteurs";"Oui";"Oui";"A";"6";"6";"5";"6";"4";"A";"5";"5";"5";"4";"4";"A";"4";"5";"4";"4";"5";"C";"5";"6";"5";"4";"4";"D";"5";"6";"5";"5";"4";"D";"5";"6";"6";"5";"4"
"P_1779045857404";"2026-05-17T19:24:17.404Z";"26";"Un peu tous les jours";"Oui";"Enceintes";"Oui";"Oui";"A";"7";"7";"8";"5";"8";"C";"4";"3";"4";"3";"3";"D";"2";"5";"5";"3";"4";"C";"6";"5";"6";"5";"5";"D";"7";"8";"8";"6";"8";"D";"3";"5";"5";"3";"5"
"P_1779046297009";"2026-05-17T19:31:37.009Z";"23";"Un peu tous les jours";"Oui";"Casque ou écouteurs";"Oui";"Un peu";"B";"6";"3";"4";"3";"6";"A";"4";"6";"5";"4";"4";"D";"3";"5";"5";"5";"4";"C";"3";"7";"5";"6";"3";"D";"4";"5";"6";"7";"4";"C";"5";"4";"4";"5";"6"
